Generating SQLite file /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.sqlite from /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.nsys-rep
Processing [/home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_kern_exec_sum.py]... 
PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
23889,23910,0,24,24,22591781.8,24095081.5,13376930,32341153,5668974.7,8970.4,8178.0,6671,14922,2183.5,21866525.4,23370597.0,12655840,31618987,5667762.9,716286.0,716243.0,712371,721396,2516.1,cuLaunchKernel,sembla_build_claim_instances
23889,23908,0,24,24,22459227.3,24973575.5,9188750,30386199,6709048.2,29469.4,7311.5,5959,514313,103355.7,22260786.8,24800922.5,9012544,30204024,6707390.7,168971.2,167492.0,165092,189509,4845.0,cuLaunchKernel,sembla_transition_00000008
23889,23909,0,24,24,22436608.3,23517222.0,12857790,27814083,4066164.6,8576.4,8177.5,5618,13771,1831.4,22424667.6,23504326.5,12838355,27803792,4067422.1,3364.2,2849.0,1280,6400,1719.0,cuLaunchKernel,sembla_validate_claim_compatibility
23889,23910,0,24,24,22429709.0,24004856.5,14193536,30045057,5236383.8,7928.3,6805.5,5588,20842,3141.8,22063364.5,23640530.5,13815074,29664206,5235466.8,358416.2,357994.0,355241,372874,3423.6,cuLaunchKernel,sembla_reduce_claim_rules
23889,23909,0,24,24,22376076.0,25248427.0,9928981,30108715,6365796.4,42105.7,8888.0,6179,397124,82804.8,22166172.3,25072803.5,9754013,29543906,6331197.3,167798.0,167700.5,164741,173668,1690.9,cuLaunchKernel,sembla_transition_00000008
23889,23909,0,24,24,22306209.6,22317572.5,8704538,31175106,5839200.1,65522.3,7706.5,4456,580174,151579.6,22065409.2,22137512.0,8523053,30993770,5866381.0,175278.1,175365.0,170853,178693,2120.2,cuLaunchKernel,sembla_transition_00000007
23889,23910,0,24,24,22239490.2,23672575.0,12682879,31707049,6014921.3,8778.3,8293.0,6429,14001,2035.2,21987300.1,23421453.0,12437025,31455360,6015917.3,243411.8,242246.5,238278,270055,6392.8,cuLaunchKernel,sembla_init_conflict_winners
23889,23909,0,24,24,22183247.1,23170848.0,11137233,29315886,5479627.1,33955.8,7766.0,4998,331035,72818.8,21981269.3,22995687.5,10954847,29139934,5452268.5,168022.0,167556.0,165508,171333,1649.5,cuLaunchKernel,sembla_transition_00000009
23889,23910,0,24,24,22175215.5,23610543.5,12523956,31574943,6055419.4,8528.4,7866.5,5490,13592,2439.6,22164029.6,23601105.0,12515016,31566993,6056242.5,2657.5,1920.0,1280,6336,1567.6,cuLaunchKernel,sembla_validate_claim_compatibility
23889,23910,0,24,24,22030510.2,23629796.0,13649623,29633663,5240726.2,9879.0,8704.0,6271,30165,4707.6,21708564.3,23305227.0,13324404,29317975,5242959.7,312066.9,312168.5,300872,318504,5933.5,cuLaunchKernel,sembla_reduce_claim_keys
