year,state,sex,age_band,rate_per_1000,status
2012,nsw,male,70-74,20.7,published
2012,nsw,male,75-79,35.0,published
2012,nsw,male,80-84,65.6,published
2012,nsw,male,85-89,118.9,published
2012,nsw,male,90-94,205.2,published
2012,nsw,male,95-99,320.8,published
2012,nt,female,0-4,2.1,published
2012,nt,female,10-14,0.5,published
2012,nt,female,100+,0.0,published
2012,nt,female,15-19,0.9,published
2012,nt,female,20-24,0.7,published
2012,nt,female,25-29,0.5,published
2012,nt,female,30-34,0.5,published
2012,nt,female,35-39,1.9,published
2012,nt,female,40-44,3.0,published
2012,nt,female,45-49,2.7,published
2012,nt,female,5-9,0.1,published
2012,nt,female,50-54,4.5,published
2012,nt,female,55-59,5.7,published
2012,nt,female,60-64,8.0,published
2012,nt,female,65-69,9.8,published
2012,nt,female,70-74,22.4,published
