beta,gamma
0.85084348917007446,0.11822547018527985
0.80218809843063354,0.11271186172962189
0.78855574131011963,0.10964018851518631
0.82231158018112183,0.12269281595945358
0.80017822980880737,0.092414051294326782
0.85516577959060669,0.10334838181734085
0.82740867137908936,0.11212331801652908
0.86087816953659058,0.11259511113166809
0.83558863401412964,0.1190357431769371
0.81301510334014893,0.10708298534154892
0.78248155117034912,0.12259592115879059
0.77650022506713867,0.10714609175920486
0.82250082492828369,0.11527558416128159
0.79733932018280029,0.094616040587425232
0.87604832649230957,0.12821435928344727
0.78053903579711914,0.09176519513130188
0.85147756338119507,0.1132340207695961
0.77453535795211792,0.12576316297054291
0.80399107933044434,0.095024630427360535
0.81013208627700806,0.10831828415393829
0.80528461933135986,0.11216815561056137
0.83308827877044678,0.1033942848443985
0.85660505294799805,0.13006921112537384
0.810172438621521,0.10787596553564072
0.78260219097137451,0.10383465141057968
0.79332154989242554,0.11350065469741821
0.77852851152420044,0.094282515347003937
0.73128670454025269,0.099546618759632111
0.78154182434082031,0.10704516619443893
0.7603224515914917,0.12556885182857513
0.9680672287940979,0.11578302085399628
0.81716436147689819,0.11054916679859161
0.76056772470474243,0.11783075332641602
0.9096989631652832,0.11604920029640198
0.9245837926864624,0.10452552139759064
0.75287675857543945,0.085396595299243927
0.87557888031005859,0.10618329048156738
0.77294397354125977,0.1203555092215538
0.78081274032592773,0.10599596798419952
0.82943302392959595,0.12877087295055389
0.83745706081390381,0.11113365739583969
0.79389750957489014,0.092184998095035553
0.78928816318511963,0.11077012866735458
0.79441177845001221,0.11104555428028107
0.83973509073257446,0.11419373005628586
0.80015116930007935,0.10818181931972504
0.76581370830535889,0.10779935121536255
0.73979657888412476,0.11952179670333862
0.81797593832015991,0.10289316624403
0.79448658227920532,0.087453506886959076
0.95906847715377808,0.11630013585090637
0.85374146699905396,0.10701964050531387
0.93740236759185791,0.10873100161552429
0.82120722532272339,0.11558569222688675
0.87528926134109497,0.10682331770658493
0.83547216653823853,0.11894956231117249
0.74623507261276245,0.10930653661489487
0.84214508533477783,0.11496400833129883
0.82240027189254761,0.11662259697914124
0.7427101731300354,0.10523615777492523
0.8603215217590332,0.11426167190074921
0.83788883686065674,0.11347338557243347
0.84851568937301636,0.12120175361633301
0.66829180717468262,0.095729924738407135
0.79940789937973022,0.10602845251560211
0.80489844083786011,0.11363134533166885
0.77548706531524658,0.10992188006639481
0.85822427272796631,0.11494754999876022
0.83023083209991455,0.11939341574907303
0.81123363971710205,0.13221088051795959
0.70002657175064087,0.059034820646047592
0.84920370578765869,0.11119246482849121
0.86493319272994995,0.11649138480424881
0.799041748046875,0.10391853004693985
0.730549156665802,0.10973731428384781
0.7899327278137207,0.10149261355400085
0.84979963302612305,0.11721412837505341
0.79515862464904785,0.1018211767077446
0.81989526748657227,0.09360010176897049
0.75888532400131226,0.10152767598628998
0.82748717069625854,0.12297984212636948
0.14739687740802765,0.096647270023822784
0.94155752658843994,0.10680980980396271
0.78941255807876587,0.10774139314889908
0.81364387273788452,0.12515304982662201
0.87083417177200317,0.11076009273529053
0.81912952661514282,0.10551134496927261
0.8560449481010437,0.1070350706577301
0.80755430459976196,0.108641617000103
0.81527036428451538,0.11227168142795563
0.80560541152954102,0.10682208836078644
0.81988322734832764,0.094240210950374603
0.78940802812576294,0.11118520051240921
0.86659914255142212,0.10582097619771957
0.86989253759384155,0.11412970721721649
0.83698117733001709,0.10874228179454803
0.71617406606674194,0.074890464544296265
0.82598757743835449,0.10105881094932556
0.80228543281555176,0.102859728038311
0.83000659942626953,0.097077593207359314
0.76610130071640015,0.10112697631120682
0.80237269401550293,0.096428960561752319
0.95459824800491333,0.12260109931230545
0.76024043560028076,0.1280505359172821
0.84538626670837402,0.11727204918861389
0.89852774143218994,0.11173916608095169
0.77600550651550293,0.11570113897323608
0.80278009176254272,0.10336015373468399
0.78668850660324097,0.11609485745429993
0.76701146364212036,0.11566165834665298
0.82337498664855957,0.10770810395479202
0.89677804708480835,0.11171465367078781
0.85215026140213013,0.11254491657018661
0.85179388523101807,0.11481533944606781
0.91324597597122192,0.12851126492023468
0.77770030498504639,0.11580636352300644
0.76683074235916138,0.10837351530790329
0.76634311676025391,0.10531174391508102
0.77819854021072388,0.11446612328290939
0.93285781145095825,0.1022278368473053
0.78178697824478149,0.11152832955121994
0.79093915224075317,0.13677147030830383
0.77486580610275269,0.12195918709039688
0.71147102117538452,0.077397987246513367
0.84311646223068237,0.116456538438797
0.81950640678405762,0.11577221751213074
0.78529316186904907,0.11032607406377792
0.75943970680236816,0.1045445129275322
0.76957136392593384,0.11115118116140366
0.83068627119064331,0.1066611111164093
0.77619379758834839,0.11452973634004593
